Identif;MonthlyPeoples;DailyPeoples;HourlyPeoples_08_22;HourlyPeoples_08_10;HourlyPeoples_17_19;HourlyPeoples_22_08;DistrictName;WKT;HeatmapPoint;Author;lat1;lon1;lat2;lon2
174013;514;17;1;1;1;0;Савёловский;LINESTRING (37.572931 55.795133, 37.572365 55.795194);POINT (37.5726 55.7952);myData.biz;55.795133;37.572931;55.795194;37.572365
174014;514;17;1;1;1;0;Савёловский;LINESTRING (37.572365 55.795194, 37.572094 55.795178);POINT (37.5722 55.7952);myData.biz;55.795194;37.572365;55.795178;37.572094
174015;514;17;1;1;1;0;Савёловский;LINESTRING (37.572094 55.795178, 37.572049 55.795116);POINT (37.5721 55.7951);myData.biz;55.795178;37.572094;55.795116;37.572049
174016;514;17;1;1;1;0;Савёловский;LINESTRING (37.572049 55.795116, 37.572082 55.794986);POINT (37.5721 55.7951);myData.biz;55.795116;37.572049;55.794986;37.572082
174019;59846;1994;123;189;169;25;Савёловский;LINESTRING (37.559732 55.797107, 37.560155 55.79673);POINT (37.5599 55.7969);myData.biz;55.797107;37.559732;55.79673;37.560155
174029;6256;208;12;19;17;2;Савёловский;LINESTRING (37.570423 55.794421, 37.570391 55.794515);POINT (37.5704 55.7945);myData.biz;55.794421;37.570423;55.794515;37.570391
174030;3673;122;7;11;10;1;Савёловский;LINESTRING (37.570391 55.794515, 37.570368 55.794585);POINT (37.5704 55.7946);myData.biz;55.794515;37.570391;55.794585;37.570368
174057;79461;2648;164;251;225;34;Савёловский;LINESTRING (37.556317 55.804322, 37.556525 55.804231);POINT (37.5564 55.8043);myData.biz;55.804322;37.556317;55.804231;37.556525
174127;22040;734;45;69;62;9;Савёловский;LINESTRING (37.579557 55.806142, 37.579082 55.80695);POINT (37.5793 55.8065);myData.biz;55.806142;37.579557;55.80695;37.579082
174172;53;1;0;0;0;0;Савёловский;LINESTRING (37.574917 55.805661, 37.575194 55.805712);POINT (37.5751 55.8057);myData.biz;55.805661;37.574917;55.805712;37.575194
