Identif;MonthlyPeoples;DailyPeoples;HourlyPeoples_08_22;HourlyPeoples_08_10;HourlyPeoples_17_19;HourlyPeoples_22_08;DistrictName;WKT;HeatmapPoint;Author;lat1;lon1;lat2;lon2
266554;455;15;0;1;1;0;Южное Медведково;LINESTRING (37.634743 55.865339, 37.634774 55.865326);POINT (37.6348 55.8653);myData.biz;55.865339;37.634743;55.865326;37.634774
266555;10984;366;22;34;31;4;Южное Медведково;LINESTRING (37.634774 55.865326, 37.635593 55.864973);POINT (37.6352 55.8651);myData.biz;55.865326;37.634774;55.864973;37.635593
266556;10984;366;22;34;31;4;Южное Медведково;LINESTRING (37.635593 55.864973, 37.636673 55.866528);POINT (37.6361 55.8658);myData.biz;55.864973;37.635593;55.866528;37.636673
266557;33457;1115;69;105;94;14;Южное Медведково;LINESTRING (37.636673 55.866528, 37.637449 55.866596);POINT (37.6371 55.8666);myData.biz;55.866528;37.636673;55.866596;37.637449
266558;376;12;0;1;1;0;Южное Медведково;LINESTRING (37.637449 55.866596, 37.637604 55.865659);POINT (37.6375 55.8661);myData.biz;55.866596;37.637449;55.865659;37.637604
266559;376;12;0;1;1;0;Южное Медведково;LINESTRING (37.637604 55.865659, 37.637742 55.865594);POINT (37.6377 55.8656);myData.biz;55.865659;37.637604;55.865594;37.637742
266560;24078;802;49;76;68;10;Южное Медведково;LINESTRING (37.639362 55.870536, 37.639819 55.87056);POINT (37.6396 55.8705);myData.biz;55.870536;37.639362;55.87056;37.639819
266561;133642;4454;276;423;378;57;Южное Медведково;LINESTRING (37.639819 55.87056, 37.639879 55.870408);POINT (37.6398 55.8705);myData.biz;55.87056;37.639819;55.870408;37.639879
266562;133642;4454;276;423;378;57;Южное Медведково;LINESTRING (37.639879 55.870408, 37.639956 55.870392);POINT (37.6399 55.8704);myData.biz;55.870408;37.639879;55.870392;37.639956
266563;133642;4454;276;423;378;57;Южное Медведково;LINESTRING (37.639956 55.870392, 37.640462 55.87044);POINT (37.6402 55.8704);myData.biz;55.870392;37.639956;55.87044;37.640462
266564;65883;2196;136;208;186;28;Южное Медведково;LINESTRING (37.640462 55.87044, 37.640715 55.869588);POINT (37.6406 55.87);myData.biz;55.87044;37.640462;55.869588;37.640715
266565;329;10;0;0;0;0;Южное Медведково;LINESTRING (37.647496 55.876671, 37.647844 55.876634);POINT (37.6477 55.8767);myData.biz;55.876671;37.647496;55.876634;37.647844
266566;52323;1744;108;165;148;22;Южное Медведково;LINESTRING (37.645743 55.871474, 37.645206 55.871427);POINT (37.6455 55.8715);myData.biz;55.871474;37.645743;55.871427;37.645206
266567;55462;1848;114;175;157;24;Южное Медведково;LINESTRING (37.645206 55.871427, 37.644642 55.871372);POINT (37.6449 55.8714);myData.biz;55.871427;37.645206;55.871372;37.644642
266568;55462;1848;114;175;157;24;Южное Медведково;LINESTRING (37.644642 55.871372, 37.644631 55.871295);POINT (37.6446 55.8713);myData.biz;55.871372;37.644642;55.871295;37.644631
266569;73873;2462;152;233;209;32;Южное Медведково;LINESTRING (37.644631 55.871295, 37.644581 55.871179);POINT (37.6446 55.8712);myData.biz;55.871295;37.644631;55.871179;37.644581
266570;73873;2462;152;233;209;32;Южное Медведково;LINESTRING (37.644581 55.871179, 37.644524 55.871134);POINT (37.6446 55.8712);myData.biz;55.871179;37.644581;55.871134;37.644524
266571;73873;2462;152;233;209;32;Южное Медведково;LINESTRING (37.644524 55.871134, 37.644474 55.871129);POINT (37.6445 55.8711);myData.biz;55.871134;37.644524;55.871129;37.644474
266572;73873;2462;152;233;209;32;Южное Медведково;LINESTRING (37.644474 55.871129, 37.643318 55.87102);POINT (37.6439 55.8711);myData.biz;55.871129;37.644474;55.87102;37.643318
266573;45635;1521;94;144;129;19;Южное Медведково;LINESTRING (37.643318 55.87102, 37.642283 55.870923);POINT (37.6428 55.871);myData.biz;55.87102;37.643318;55.870923;37.642283
266574;77338;2577;160;244;219;33;Южное Медведково;LINESTRING (37.642283 55.870923, 37.642216 55.870916);POINT (37.6422 55.8709);myData.biz;55.870923;37.642283;55.870916;37.642216
